query,expected_cas,query_type,review_status
7647-01-0,7647-01-0,cas,DRAFT_INTERNAL_REGRESSION
염산,7647-01-0,korean_alias,DRAFT_INTERNAL_REGRESSION
HCl,7647-01-0,formula,DRAFT_INTERNAL_REGRESSION
염화 수소,7647-01-0,spacing_variant,DRAFT_INTERNAL_REGRESSION
차아염소산나트륨,7681-52-9,korean_name,DRAFT_INTERNAL_REGRESSION
차아염소산 나트륨,7681-52-9,spacing_variant,DRAFT_INTERNAL_REGRESSION
NaOCl,7681-52-9,formula,DRAFT_INTERNAL_REGRESSION
가성소다,1310-73-2,field_alias,DRAFT_INTERNAL_REGRESSION
NaOH,1310-73-2,formula,DRAFT_INTERNAL_REGRESSION
에틸알코올,64-17-5,korean_alias,DRAFT_INTERNAL_REGRESSION
EtOH,64-17-5,formula_alias,DRAFT_INTERNAL_REGRESSION
Acetone,67-64-1,english_name,DRAFT_INTERNAL_REGRESSION
아세톤,67-64-1,korean_name,DRAFT_INTERNAL_REGRESSION
NH3,7664-41-7,formula,DRAFT_INTERNAL_REGRESSION
암모니아,7664-41-7,korean_name,DRAFT_INTERNAL_REGRESSION
HNO3,7697-37-2,formula,DRAFT_INTERNAL_REGRESSION
질산,7697-37-2,korean_name,DRAFT_INTERNAL_REGRESSION
Toluene,108-88-3,english_name,DRAFT_INTERNAL_REGRESSION
톨루엔,108-88-3,korean_name,DRAFT_INTERNAL_REGRESSION
Sodium metal,7440-23-5,english_alias,DRAFT_INTERNAL_REGRESSION
금속 나트륨,7440-23-5,korean_alias,DRAFT_INTERNAL_REGRESSION
