query,expected_source,expected_cas,expected_cameo_id,review_status
염화수소 누출 시 보호구,KOSHA,7647-01-0,,DRAFT_INTERNAL_REGRESSION
염산 응급조치,KOSHA,7647-01-0,,DRAFT_INTERNAL_REGRESSION
차아염소산나트륨 산 접촉 염소가스,CAMEO,7681-52-9,4503,DRAFT_INTERNAL_REGRESSION
차아염소산나트륨 누출 대응,KOSHA,7681-52-9,,DRAFT_INTERNAL_REGRESSION
아세톤 화재 위험,KOSHA,67-64-1,,DRAFT_INTERNAL_REGRESSION
톨루엔 소화 대응,KOSHA,108-88-3,,DRAFT_INTERNAL_REGRESSION
금속 나트륨 물 반응,CAMEO,7440-23-5,7794,DRAFT_INTERNAL_REGRESSION
암모니아 응급조치,KOSHA,7664-41-7,,DRAFT_INTERNAL_REGRESSION
질산 반응성,KOSHA,7697-37-2,,DRAFT_INTERNAL_REGRESSION
수산화나트륨 취급 저장,KOSHA,1310-73-2,,DRAFT_INTERNAL_REGRESSION

